GENDER,HS-GPA,SAT-MATH,CML-GPA,SAT-VERB,AGE,CREDITS,HOURS
1,3.86,640,3.45,580,19,35,10
1,3.43,530,3.2,330,19,47,11
1,2.78,380,3,480,18,37,12
2,2.46,510,2.77,430,20,52,12
1,2.47,480,3.48,470,19,27,10
1,2.84,460,2.35,430,20,29,8
2,3.73,510,3.57,440,19,34.7,13
1,3.11,410,2.3,410,20,54,15
2,2.49,650,3,480,21,50,18
1,2.88,590,2.76,580,19,25,14
1,3.1,480,2.38,490,20,51,12
2,3.08,660,2.51,520,19,43,13
1,2.84,520,2.16,320,20,25,20
2,2.53,510,2.81,550,19,32,19
1,3.51,590,3.3,470,19,26,10
1,3.13,520,2.02,400,20,52,10
1,2.92,540,2.89,540,18,28,9
2,3,390,2.8,400,19,36,8
1,2.9,570,2.13,470,19,37,7
2,3.29,570,3.12,450,19,33,10
1,3,410,2.32,310,19,25,14
2,2.67,550,2.41,440,20,51,14
1,3.63,500,3.12,510,19,36.7,12
1,3.11,600,2.42,550,20,50,13
1,3.77,580,2.42,550,21,46,15
1,3.86,560,3.88,590,19,32,16
2,2.56,490,2.68,420,19,28,11
1,3.35,580,2.88,430,20,32,10
2,2.88,510,2.04,370,21,47,13
1,3.42,640,2.76,410,19,25,12
1,2.92,500,1.75,450,19,33,15
2,3.01,520,2.4,360,20,52,18
1,3.03,370,2.54,500,19,25,21
2,3.35,610,4,530,19,32,22
2,2.5,600,2.58,510,19,31,20
2,2.77,610,2.62,510,20,52,15
1,2.89,420,2.4,360,19,26,11
1,2.65,430,3.25,520,20,49,9
2,2.5,410,2.48,320,21,43,11
1,3.18,550,2.48,510,19,25,6
2,3.93,630,3.9,650,20,48,11
1,2.82,590,2.7,510,19,30,4
2,2.9,400,2.86,300,19,25,6
2,2.36,480,2,410,21,35,10
2,2.76,470,3.04,430,19,28,22
2,3.93,680,3.43,430,19,28,13
2,3.3,590,2.69,560,20,32,23
1,2.61,350,2.33,590,20,46,22
1,3.7,650,3.21,660,19,53,21
1,3.28,440,3.2,480,19,30,20
2,1.72,620,2.15,580,19,30,19
1,2.9,400,2.24,480,19,25,18
2,3.46,610,2.52,420,19,25,16
1,3.86,470,3.62,510,19,26,15
1,3.07,540,2.62,440,19,26,14
2,3.61,540,3.48,520,20,25,13
1,3.1,480,3.26,380,19,46,15
1,2.95,370,3.2,360,21,30,16
2,3,480,2.89,440,18,28,17
2,2,370,4,300,20,50,14
2,2.68,500,2.18,410,20,46,17
1,3.66,570,3.52,470,19,31,14
1,3.9,570,3.61,520,18,31,17
1,3,550,2.6,430,20,45,18
2,3.81,530,3.16,530,19,26,12
1,3.42,420,2.88,440,19,29,10
2,2.69,310,2,340,20,37,11
2,3.24,600,2.81,630,19,32,13
1,3.74,590,3.31,630,20,26,9
2,2.95,520,3,440,19,28,4
1,3.04,610,2.96,460,19,34,12
2,1.81,560,1.75,450,20,38,17
1,3.55,340,2.84,360,20,25,19
1,2.24,610,2.28,500,20,25,12
1,3.28,580,0.82,460,22,30,20
2,2.93,490,1.75,520,20,27,20
1,2.57,600,2.96,510,19,26,24
1,3.61,520,2.58,560,20,54,23
1,3.71,470,2.19,360,21,38,22
2,3.07,540,2.69,540,20,41,22
2,3.78,650,3,510,20,26,12
1,2.72,540,2.64,490,19,28,21
2,2.05,700,3.53,390,19,30,20
2,3.03,460,3.59,310,19,37,20
1,3.3,650,2.65,390,19,37,19
